RKP980200-DR000200,POLYMAL 9802,IRS,, 32 ,2019-10-11,OC-002
RKPR14100-DR000160,POLYMAL R141,IRS,, 2 ,2019-10-12,OC-002
ENABM1000-BLK20000,BARIASTAR BM-1000,IRW,Paper, 12 ,2019-01-01,OC-002
ENABM100B-BLK02500,BARIASTAR BM-1000B,IRW,, 26 ,2019-01-02,OC-002
ENAOM1050-BLK20000,BARIASTAR OM-1050,IRW,Paper, 12 ,2019-01-03,OC-002
ENAOM105B-BLK02500,BARIASTAR OM-1050B,IRW,, 26 ,2019-01-04,OC-002
ENCH3150B-BLK01000,HOPELON-3150B,IRW,Paper, 11 ,2019-01-05,OC-002
ENG1140SD-BLK01000,ALMATEX-SE1140SD,IRW,Coating - IRW, 26 ,2019-02-17,OC-002
ENG5087SE-DR000200,ALMATEX-A-5087SE,IRW,, 16 ,2019-02-18,OC-002
ENGA264FT-DR000200,ALMATEX E264FT,IRW,Coating - IRW, 16 ,2019-02-19,OC-002
ENGAL2500-BLK01000,ALMATEX-A-250,IRW,Coating - IRW, 17 ,2019-02-20,OC-002
ENGAL2500-DR000200,ALMATEX-A-250,IRW,Coating - IRW, 1 ,2019-02-21,OC-002
ENGAL2600-BLK01000,ALMATEX-A-260,IRW,Coating - IRW, 22 ,2019-02-22,OC-002
ENGAL2600-DR000200,ALMATEX-A-260,IRW,, 1 ,2019-02-23,OC-002
ENGAL2870-DR000200,ALMATEX-A-287,IRW,, 22 ,2019-02-24,OC-002
ENGAL2890-BLK01000,ALMATEX-A-289,IRW,Coating - IRW, 20 ,2019-02-25,OC-002
ENGAL2890-DR000200,ALMATEX-A-289,IRW,Coating - IRW, 1 ,2019-02-26,OC-002
ENGAL289E-DR000200,ALMATEX-A-289(EX),IRW,, 20 ,2019-02-27,OC-002
ENGAL2910-BLK01000,ALMATEX-A-291,IRW,Coating - IRW, 16 ,2019-02-28,OC-002
ENGAL2910-DR000200,ALMATEX-A-291,IRW,, 1 ,2019-03-01,OC-002
ENGAL583W-BLK01000,ALMATEX-A-583W,IRW,, 18 ,2019-03-02,OC-002
ENGAL583W-DR000200,ALMATEX-A-583W,IRW,, 16 ,2019-03-03,OC-002
ENGAL9009-BLK01000,ALMATEX-A-9009,IRW,Coating - IRW, 17 ,2019-03-04,OC-002
ENGAL9009-DR000100,ALMATEX-A-9009,IRW,Coating - IRW, 1 ,2019-03-05,OC-002
ENGAL9009-DR000200,ALMATEX-A-9009,IRW,Coating - IRW, 1 ,2019-03-06,OC-002
ENGAL9039-BLK01000,ALMATEX-A-9039,IRW,Coating - IRW, 1 ,2019-03-07,OC-002
ENGAL9039-BLK02500,ALMATEX-A-9039,IRW,, 19 ,2019-03-08,OC-002
ENGAL9039-DR000200,ALMATEX A-9039,IRW,Coating - IRW, 1 ,2019-03-09,OC-002
ENGAL9085-DR000200,ALMATEX A-9085,IRW,, 16 ,2019-03-10,OC-002
ENGAL9086-DR000200,ALMATEX-A-9086,IRW,Coating - IRW, 19 ,2019-03-11,OC-002
ENGALA297-DR000200,ALMATEX-A-297,IRW,Coating - IRW, 18 ,2019-03-12,OC-002
ENGALE156-DR000200,ALMATEX E156,IRW,, 16 ,2019-03-13,OC-002
ENGALZ116-DR000200,ALMATEX Z116,IRW,, 18 ,2019-03-14,OC-002
ENGSE2013-BLK01000,ALMATEX SE 2013,IRW,Coating - IRW, 18 ,2019-03-15,OC-002
ENGSE2013-DR000200,ALMATEX SE 2013,IRW,Coating - IRW, 20 ,2019-03-16,OC-002
ENGSE2013-DRN00120,ALMATEX SE 2013,IRW,Textile, 1 ,2019-03-17,OC-002
ENGSE2615-DR000200,ALMATEX SE261-50,IRW,Coating - IRW, 30 ,2019-03-18,OC-002
ENGSE2620-DR000200,ALMATEX SE262,IRW,Coating - IRW, 16 ,2019-03-19,OC-002
ENGSE262N-DR000200,ALMATEX SE262N,IRW,, 16 ,2019-03-20,OC-002
ENGSE263N-DR000200,ALMATEX SE263N,IRW,Coating - IRW, 16 ,2019-03-21,OC-002
ENGSE3100-BLK01000,ALMATEX SE310,IRW,Coating - IRW, 16 ,2019-03-22,OC-002
ENGSE3100-BLK20000,ALMATEX SE310,IRW,Coating - IRW, 8 ,2019-03-23,OC-002
ENGSE3100-DR000200,ALMATEX SE310,IRW,Coating - IRW, 8 ,2019-03-24,OC-002
ENGSE310B-BLK20000,ALMATEX SE310B,IRW,, 16 ,2019-03-25,OC-002
ENGWA159N-BLK01000,ALMATEX WA159N1,IRW,, 26 ,2019-03-26,OC-002
ENGWA159N-DR000200,ALMATEX WA159N1,IRW,Coating - IRW, 20 ,2019-03-27,OC-002
ERAB5600E-BLK01200,STRUCT BOND BW-5600 (EX),IRW,, 13 ,2019-06-08,OC-002
ERAB5600E-KY000036,STRUCT BOND BW-5600 (EX),IRW,, 1 ,2019-06-09,OC-002
ERABW5600-BLK01000,STRUCT BOND BW-5600,IRW,Adhesive, 13 ,2019-06-10,OC-002
ERABW5600-BLK01200,STRUCT BOND BW-5600,IRW,Adhesive, 1 ,2019-06-11,OC-002
ERABW5600-DR000100,STRUCT BOND BW-5600,IRW,Adhesive, 22 ,2019-06-12,OC-002
ERABW5600-KY000005,STRUCT BOND BW-5600,IRW,, 1 ,2019-06-13,OC-002
ERABW5600-KY000036,STRUCT BOND BW-5600,IRW,Adhesive, 1 ,2019-06-14,OC-002
ERASB1124-DR000200,STRUCT BOND SB-1124,IRW,Adhesive, 9 ,2019-06-15,OC-002
ERAVU8800-BLK01200,STRUCT BOND VU-880,IRW,Adhesive, 22 ,2019-06-16,OC-002
ERAVU8800-DR000100,STRUCT BOND VU-880,IRW,Adhesive, 1 ,2019-06-17,OC-002
ERAVU8800-KY000036,STRUCT BOND VU-880,IRW,Adhesive, 1 ,2019-06-18,OC-002
ERAVU8920-BLK01000,STRUCT BOND VU-892,IRW,, 20 ,2019-06-19,OC-002
ERAVU8920-KY000036,STRUCT BOND VU-892,IRW,, 1 ,2019-06-20,OC-002
ERAVU980-BLK001000,STRUCT BOND VU-980,IRW,, 16 ,2019-06-21,OC-002
ERAVU980-KY0000036,STRUCT BOND VU-980,IRW,, 1 ,2019-06-22,OC-002
RKA010500-DR000200,ACRYLAX 0105,IRW,, 4 ,2019-07-14,OC-002
RKA101200-DR000200,ACRYLAX-1012,IRW,, 18 ,2019-07-15,OC-002
RKA101300-DR000200,ACRYLAX-1013,IRW,, 15 ,2019-07-16,OC-002
RKA101400-DR000200,ACRYLAX-1014,IRW,, 15 ,2019-07-17,OC-002
RKA105700-DR000080,ACRYLAX-1057,IRW,Adhesive, 28 ,2019-07-18,OC-002
RKA105700-DR000200,ACRYLAX-1057,IRW,Adhesive, 35 ,2019-07-19,OC-002
RKA106100-DR000200,ACRYLAX-1061,IRW,, 16 ,2019-07-20,OC-002
RKA106500-BLK01000,ACRYLAX-1065,IRW,Adhesive, 16 ,2019-07-21,OC-002
RKA1301M0-DR000200,ACRYLAX-1301M,IRW,Textile, 17 ,2019-07-23,OC-002
RKA1311H1-DR000200,ACRYLAX-1311H-10,IRW,Textile, 16 ,2019-07-24,OC-002
RKA1311H1-KY000020,ACRYLAX-1311H-10,IRW,Textile, 1 ,2019-07-25,OC-002
RKA1312R0-DR000200,ACRYLAX-1312R,IRW,, 8 ,2019-07-26,OC-002
RKA1312S1-DR000200,ACRYLAX-1312S-10,IRW,Textile, 16 ,2019-07-27,OC-002
RKA1312S1-KY000020,ACRYLAX-1312S-10,IRW,Textile, 1 ,2019-07-28,OC-002
RKA180100-DR000100,ACRYLAX-1801,IRW,Textile, 20 ,2019-07-29,OC-002
RKA220000-DR000200,ACRYLAX-2200,IRW,, 16 ,2019-07-30,OC-002
RKA220600-DRN00120,ACRYLAX-2206,IRW,Textile, 17 ,2019-07-31,OC-002
RKA220700-DRN00120,ACRYLAX-2207,IRW,Textile, 17 ,2019-08-01,OC-002
RKA220800-DRN00120,ACRYLAX-2208,IRW,Textile, 16 ,2019-08-02,OC-002
RKA221100-DRN00120,ACRYLAX-2211,IRW,Textile, 12 ,2019-08-03,OC-002
RKA221300-DR000100,ACRYLAX-2213,IRW,, 10 ,2019-08-04,OC-002
RKA221400-DRN00120,ACRYLAX-2214,IRW,Textile, 10 ,2019-08-05,OC-002
RKA3341HB-BLK01000,ACRYLAX-3341HB,IRW,Textile, 16 ,2019-08-06,OC-002
RKA3342SB-DR000200,ACRYLAX-3342SB-10,IRW,Textile, 16 ,2019-08-07,OC-002
RKA3345P0-BLK06000,ACRYLAX-3345P,IRW,, 17 ,2019-08-08,OC-002
RKA3345P0-DR000200,ACRYLAX-3345P,IRW,Textile, 1 ,2019-08-09,OC-002
